,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email: ,marketing@dyllu.com,,TeL: 0086 512 6569 0317;  Mobile phone: 0086 18061927935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Qty should be multiple of Basic Qty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD2225,,Best seller,Phillips screwdriver,"Tip type: phillips
Tip size: PH2
Round shank
Diameter: 6.0mm
Length: 125mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,13 MDL,,720,144,0.00,0.000,0.00,Plastic hanger,0.044,16.20,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD2226,,Best seller,Phillips screwdriver,"Tip type: phillips
Tip size: PH2
Round shank
Diameter: 6.0mm
Length: 150mm
Material: Cr-V steel
Blade finish: black tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,14 MDL,,720,144,0.00,0.000,0.00,Plastic hanger,0.047,17.40,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD2236,,,Phillips screwdriver,"Tip type: phillips
Tip size: PH3
Round shank
Diameter: 8.0mm
Length: 150mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,20 MDL,,432,144,0.00,0.000,0.00,Plastic hanger,0.060,23.30,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD2238,,Best seller,Phillips screwdriver,"Tip type: Phillips
Tip size: PH3
Round shank
Diameter: 8.0mm
Length: 200mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,22 MDL,,432,144,0.00,0.000,0.00,Plastic hanger,0.071,27.00,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1233,,,Slotted screwdriver,"Tip type: slotted
Tip size: 3.0mm
Round shank
Diameter: 3.0mm
Length: 75mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,7 MDL,,720,240,0.00,0.000,0.00,Plastic hanger,0.041,12.30,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1244,,,Slotted screwdriver,"Tip type: slotted
Tip size: 4.0mm
Round shank
Diameter: 4.0mm
Length: 100mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,9 MDL,,720,240,0.00,0.000,0.00,Plastic hanger,0.045,13.20,480,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1251,,,Slotted screwdriver,"Tip type: slotted
Tip size: 5.5mm
Round shank
Diameter: 5.0mm
Length: 38mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,8 MDL,,720,240,0.00,0.000,0.00,Plastic hanger,0.037,12.80,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1253,,,Slotted screwdriver,"Tip type: slotted
Tip size: 5.5mm
Round shank
Diameter: 5.0mm
Length: 75mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,10 MDL,,720,240,0.00,0.000,0.00,Plastic hanger,0.048,18.20,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1254,,Best seller,Slotted screwdriver,"Tip type: slotted
Tip size: 5.5mm
Round shank
Diameter: 5.0mm
Length: 100mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,10 MDL,,720,240,0.00,0.000,0.00,Plastic hanger,0.053,19.50,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1261,,,Slotted screwdriver,"Tip type: slotted
Tip size: 6.5mm
Round shank
Diameter: 6.0mm
Length: 38mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,9 MDL,,720,240,0.00,0.000,0.00,Plastic hanger,0.037,12.80,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1264,,,Slotted screwdriver,"Tip type: slotted
Tip size: 6.5mm
Round shank
Diameter: 6.0mm
Length: 100mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,12 MDL,,720,144,0.00,0.000,0.00,Plastic hanger,0.039,15.50,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1265,,Best seller,Slotted screwdriver,"Tip type: slotted
Tip size: 6.5mm
Round shank
Diameter: 6.0mm
Length: 125mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,13 MDL,,720,144,0.00,0.000,0.00,Plastic hanger,0.044,16.70,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1266,,Best seller,Slotted screwdriver,"Tip type: slotted
Tip size: 6.5mm
Round shank
Diameter: 6.0mm
Length: 150mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,14 MDL,,720,144,0.00,0.000,0.00,Plastic hanger,0.047,18.00,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1286,,,Slotted screwdriver,"Tip type: slotted
Tip size: 8.0mm
Round shank
Diameter: 8.0mm
Length: 150mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,20 MDL,,432,144,0.00,0.000,0.00,Plastic hanger,0.060,22.80,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD1288,,,Slotted screwdriver,"Tip type: slotted
Tip size: 8.0mm
Round shank
Diameter: 8.0mm
Length: 200mm
Material: Cr-V steel
Blade finish: black tip
Magnetised tip
Comfortable soft grip handle
Packed by plastic hanger",PCS,22 MDL,,432,144,0.00,0.000,0.00,Plastic hanger,0.072,26.30,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSSB402,,Best seller,2 Pcs screwdriver set,"2pcs screwdriver set
Blade material: S2
Shank type: round
1Pcs SL6.5*6*38mm
1Pcs PH2*6*38mm
Two-color ergonomic handle
With strong magnetic
Packed by plastic hanger",SET,28 MDL,,360,72,0.00,0.000,0.00,Plastic hanger,0.027,8.50,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSSA402,,Best seller,2 Pcs screwdriver set,"2pcs screwdriver set
Blade material: S2
Shank type: round
1Pcs SL6.5*6*125mm
1Pcs PH2*6*125mm
Two-color ergonomic handle
With strong magnetic
Packed by plastic hanger",SET,41 MDL,,150,30,0.00,0.000,0.00,Plastic hanger,0.021,7.40,300,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSSA404,,Best seller,4 Pcs screwdriver set,"4pcs screwdriver set
Blade material: S2
Shank type: round
1Pcs SL5.5*5*100mm
1Pcs PH1*5*100mm
1Pcs SL6.5*6*150mm
1PcsPH2*6*150mm
Two-color ergonomic handle
With strong magnetic
Packed by plastic hanger",SET,75 MDL,,150,30,0.00,0.000,0.00,Plastic hanger,0.048,13.40,150,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSSA406,,Best seller,6 Pcs screwdriver set,"6pcs screwdriver set
Blade material: S2
Shank type: round
1Pcs SL5.5*5*75mm
1Pcs PH1*5*75mm
1Pcs SL5.5*5*100mm
1Pcs PH1*5*100mm
1Pcs SL6.5*6*150mm
1PcsPH2*6*150mm
Two-color ergonomic handle
With strong magnetic
Packed by plastic hanger",SET,109 MDL,,100,20,0.00,0.000,0.00,Plastic hanger,0.042,11.70,160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1202,,Best seller,2 Pcs screwdriver set,"2 Pcs screwdriver set  
Material:CR-V   Round shank
SL6.5*38mm
PH2*38mm
Packed by plastic hanger",SET,19 MDL,,320,80,0.00,0.000,0.00,Plastic hanger,0.028,8.70,160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1302,,Best seller,2 Pcs screwdriver set,"2 Pcs screwdriver set  
Material:CR-V   Round shank
SL6.5*100mm
PH2*100mm
Packed by plastic hanger",SET,25 MDL,,320,40,0.00,0.000,0.00,Plastic hanger,0.023,9.00,160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1204,,Best seller,4 Pcs screwdriver set,"4 Pcs screwdriver set  
Material:CR-V     Round shank
SL5.5*75   SL6.5*100      
PH1*75 PH2*100
Packed by plastic hanger",SET,47 MDL,,200,40,0.00,0.000,0.00,Plastic hanger,0.040,14.80,160,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1206,,Best seller,6 Pcs screwdriver set,"6 Pcs screwdriver set  
Material:CR-V    Round shank
SL3*75   SL5.5*100   
SL6.5*100   PH0*75      
PH1*100     PH2*100
Packed by plastic hanger",SET,63 MDL,,180,36,0.00,0.000,0.00,Plastic hanger,0.054,17.28,180,180,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1408,,Best seller,8 Pcs screwdriver set,"8 Pcs screwdriver set  
Material:CR-V    Round shank
SL6.5*38 PH2*38
SL3*75 SL5.5*75 
SL6.5*100  PH0*75    
PH1*75    PH2*100
Packed by sliding card",SET,87 MDL,,120,24,0.00,0.000,0.00,Sliding card,0.065,15.00,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1416,,Best seller,16 Pcs screwdriver set,"16 Pcs Screwdriver set
New design handle
Material: Cr-V
Include:
Slotted screwdriver (8pcs):
1 Pcs SL3X75mm
1 Pcs SL5.5X100mm 
1 Pcs SL6.5X38mm
1 Pcs SL6.5X150mm
1 Pcs PH0X75mm
1 Pcs PH1X100mm 
1 Pcs PH2X38mm
1 Pcs PH2X150mm
Precision screwdriver (8pcs):
1 Pcs SL1.5*50mm
1 Pcs SL2.5*50mm
1 Pcs PH000*50mm
1 Pcs PH00*50mm
1 Pcs PH0*50mm
1 Pcs T6*50mm
1 Pcs T8* 50mm
1 Pcs T10*50mm
Packed by double blister",SET,122 MDL,,200,10,0.00,0.000,0.00,Double blister,0.061,9.10,200,200,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1430,,Best seller,30 Pcs screwdriver set,"30 Pcs screwdriver set
Material:CR-V
With 1 pcs 1/4""*100mm screwdriver magnetic shank
With 20 pcs c-rv 4*25mm screwdriver bit:SL3 SL4 SL5 SL6 PH0 PH1 PH2 PH3 PZ0 PZ1 PZ2 PZ3 T10 T15 T20 T30 H3 H4 H5 H6 
With 1 pcs PH1*75mm screwdriver
With 1 pcs PH2*38mm screwdriver
With 1 pcs PH2*100mm screwdriver
With 1 pcs SL5.5*75mm screwdriver
With 1 pcs SL6.5*38mm screwdriver
With 1 pcs SL6.5*100mm screwdriver
3Pcs Z-shaped two-way screwdriver:SL3*PH0; SL5*PH1;SL6*PH2
Packed by double blister",SET,107 MDL,,200,20,0.00,0.000,0.00,Double blister,0.055,16.50,100,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTQJ0601,,Best seller,6Pcs go-through screwdriver set,"6Pcs go-through screwdriver set
Blade material: S2
Shank type: hex
1pcs SL5.5*5*100
1pcs SL6.5*6*150
1pcs SL8.0*8*200
1pcs PH1*5*100
1pcs PH2*6*150
1pcs PH3*8*200
Two-color ergonomic handle
With strong magnetic
Packed by double blister",SET,181 MDL,,360,20,0.00,0.000,0.00,Double blister,0.072,25.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS45M1,,Best seller,2 In 1 screwdriver set,"2 In 1 screwdriver set
Size:PH2+SL6.5
Length:68mm
Shank:6.35mm
Material:CR-V
Hex shank
Packed by plastic hanger",PCS,16 MDL,,720,48,0.00,0.000,0.00,Plastic hanger,0.008,3.30,96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS45M3,,Best seller,2 In 1 screwdriver set,"2 In 1 screwdriver set
Size:PH2+SL6.5
Length:130mm
Shank:6.35mm
Material:CR-V
Blade can be inserted into the side of the handle to form a T-handle screwdriver
Hex shank
Packed by plastic hanger",PCS,22 MDL,,576,48,0.00,0.000,0.00,Plastic hanger,0.015,6.10,192,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS5506,,Best seller,6 In 1 screwdriver set,"6 In 1 Screwdriver set
Material:CR-V
6 function in 1 screwdriver:
With 2 pcs two-way bits：
 6.35*65mm,PH1+SL5
 8.00*75mm,PH2+SL6
With 2pcs socket：6mm，8mm
With 1 pcs unique design interchangeable screwdriver handle
Packed by color box",SET,35 MDL,,480,48,0.00,0.000,0.00,Color box,0.036,8.40,96,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1B10,,,10 Pcs interchangeable screwdriver set,"10 Pcs interchangeable screwdriver set
Material: Cr-V
Include:
1pcs SL3x65mm screwdriver 
1pcs SL5x65mm screwdriver 
1pcs SL6x65mm screwdriver 
1pcs PH0x65mm screwdriver 
1pcs PH1x65mm screwdriver   
1pcs PH2x65mm screwdriver 
1pcs 5x65 tack remover
1pcs 3x65 scratch awl
1pcs 5x65 U-shaped screwdriver
With 1pcs unique design interchangeable handle
Packed by plastic box",SET,66 MDL,,264,44,0.00,0.000,0.00,Plastic box,0.073,17.00,176,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1612,,Best seller,12 Pcs Screwdriver bits set,"12 Pcs screwdriver bits set
1Pcs 1/4""X100mm screwdriver bits holder
11Pcs CR-V bits: 1/4″ x 25mm
Bits size:
SL4,SL5,SL6,SL7
PH0,PH1,PH2,PH2,PH3
PZ1,PZ2
Packed by sliding card",SET,33 MDL,,480,60,0.00,0.000,0.00,Sliding card,0.046,12.69,180,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSS1602,,,2 Pcs door trim remover,"2 Pcs door trim remover
Exposed length:125mm
Small end open diameter:6.0mm 
Big end open diameter:8.0mm
Small end open size:5-7mm
Big end open size  6-9mm
Easily slide into confined areas
Suitable for round and square clips, 
Fasteners and plastic rivets
Packed by sliding card",SET,36 MDL,,960,48,0.00,0.000,0.00,Sliding card,0.055,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3933,,,Slotted screwdriver,"40CR,Round shank
Slotted:3.0mm
Diameter:3.0mm
Length:75mm
Packed by plastic hanger",PCS,6 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.049,9.50,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3944,,,Slotted screwdriver,"40CR,Round shank
Slotted,4.0mm
Diameter,4.0mm
Length,100mm
Packed by plastic hanger",PCS,7 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.049,9.50,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3953,,,Slotted screwdriver,"40CR,Round shank
Slotted:5.5mm
Diameter:5.0mm
Length:75mm
Packed by plastic hanger",PCS,8 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.053,14.60,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3954,,,Slotted screwdriver,"40CR,Round shank
Slotted:5.5mm
Diameter:5.0mm
Length:100mm
Packed by plastic hanger",PCS,8 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.059,15.50,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3961,,,Slotted screwdriver,"40 CR, Round shank
Slotted:6.5mm
Diameter:6.0mm
Length:38mm
Packed by plastic hanger",PCS,7 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.034,11.40,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3964,,,Slotted screwdriver,"40CR,Round shank
Slotted:6.5mm
Diameter:6.0mm
Length:100mm
Packed by plastic hanger",PCS,10 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.036,12.60,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3965,,,Slotted screwdriver,"40CR,Round shank
Slotted:6.5mm
Diameter:6.0mm
Length:125mm
Packed by  plastic hanger",PCS,11 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.042,13.50,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3966,,,Slotted screwdriver,"40CR,Round shank
Slotted:6.5mm
Diameter:6.0mm
Length:150mm
Packed by plastic hanger",PCS,11 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.042,13.50,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3986,,,Slotted screwdriver,"40CR,Round shank
Slotted:8.0mm
Diameter:8.0mm
Length:150mm
Packed by plastic hanger",PCS,15 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.057,20.00,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD3988,,,Slotted screwdriver,"40CR,Round shank
Slotted:8mm
Diameter:8mm
Length:200mm
Packed by plastic hanger",PCS,17 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.066,24.20,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4903,,,Phillips screwdriver,"40CR,PH0,Round shank
Diameter:3.0mm
length:75mm
Packed by plastic hanger",PCS,6 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.049,9.20,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4913,,,Phillips screwdriver,"40CR,PH1, Round shank
Diameter:5.0mm
length:75mm
Packed by plastic hanger",PCS,8 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.053,14.60,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4914,,,Phillips screwdriver,"40CR,PH1, Round shank
Diameter:5.0mm
length:100mm
Packed by plastic hanger",PCS,8 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.059,15.50,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4921,,,Phillips screwdriver,"40CR,PH2,Round shank
Diameter:6.0mm
length:38mm
Packed by plastic hanger",PCS,7 MDL,,720,240,0.00,0.000,0.00,Plastic bag,0.034,11.40,240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4924,,,Phillips screwdriver,"40CR,PH2, Round shank
Diameter:6.0mm
length:100mm
Packed by plastic hanger",PCS,10 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.036,11.80,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4925,,,Phillips screwdriver,"40CR,PH2, Round shank
Diameter:6.0mm
length:125mm
Packed by plastic hanger",PCS,11 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.042,13.60,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4926,,,Phillips screwdriver,"40CR,PH2, Round shank
Diameter:6.0mm
length:150mm
Packed by plastic hanger",PCS,11 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.042,13.50,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4936,,,Phillips screwdriver,"40CR,PH3, Round shank
Diameter:8.0mm
length:150mm
Packed by plastic hanger",PCS,15 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.057,21.20,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTSD4938,,,Phillips screwdriver,"40CR,PH3, Round shank
Diameter:8.0mm
length:200mm
Packed by  plastic hanger",PCS,17 MDL,,720,144,0.00,0.000,0.00,Plastic bag,0.066,24.20,288,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
